tconst,ordering,nconst,category,job,characters
tt0514076,6,nm0250080,producer,producer,
tt0514076,7,nm0195997,composer,,
tt0514076,8,nm0368579,editor,,
tt0514077,1,nm1075468,actor,,"[""Master Shake""]"
tt0514077,2,nm1052894,actor,,"[""Frylock""]"
tt0514077,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514077,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514077,5,nm0537410,director,,
tt0514077,6,nm0250080,producer,producer,
tt0514077,7,nm0195997,composer,,
tt0514078,1,nm1075468,actor,,"[""Master Shake""]"
tt0514078,2,nm1052894,actor,,"[""Frylock""]"
tt0514078,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514078,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514078,5,nm0537410,director,,
tt0514078,6,nm0250080,producer,producer,
tt0514078,7,nm0368579,producer,producer,
tt0514078,8,nm0195997,composer,,
tt0514078,9,nm1743855,editor,,
tt0514079,1,nm1075468,actor,,"[""Master Shake""]"
tt0514079,2,nm1052894,actor,,"[""Frylock""]"
tt0514079,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514079,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514079,5,nm0537410,director,,
tt0514079,6,nm0250080,producer,producer,
tt0514079,7,nm0195997,composer,,
tt0514079,8,nm0368579,editor,,
tt0514080,1,nm1075468,actor,,"[""Master Shake""]"
tt0514080,2,nm1052894,actor,,"[""Frylock""]"
tt0514080,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514080,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514080,5,nm0537410,director,,
tt0514080,6,nm0250080,producer,producer,
tt0514080,7,nm0195997,composer,,
tt0514080,8,nm0368579,editor,,
tt0514081,1,nm1075468,actor,,"[""Master Shake""]"
tt0514081,2,nm1052894,actor,,"[""Frylock""]"
tt0514081,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514081,4,nm0537410,actor,,"[""Err""]"
tt0514081,5,nm0250080,producer,producer,
tt0514081,6,nm0368579,producer,producer,
tt0514081,7,nm0195997,composer,,
tt0514081,8,nm1557497,editor,,
tt0514081,9,nm1743855,editor,,
tt0514082,1,nm1075468,actor,,"[""Master Shake""]"
tt0514082,2,nm1052894,actor,,"[""Frylock""]"
tt0514082,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514082,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514082,5,nm0537410,director,,
tt0514082,6,nm0250080,producer,producer,
tt0514082,7,nm0195997,composer,,
tt0514083,10,nm1743855,editor,,
tt0514083,1,nm1075468,actor,,"[""Master Shake""]"
tt0514083,2,nm1052894,actor,,"[""Frylock""]"
tt0514083,3,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514083,4,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514083,5,nm0537410,director,,
tt0514083,6,nm0250080,producer,producer,
tt0514083,7,nm0195997,composer,,
tt0514083,8,nm1557497,editor,,
tt0514083,9,nm0368579,editor,,
tt0514084,1,nm1075468,actor,,"[""Master Shake""]"
tt0514084,2,nm1052894,actor,,"[""Frylock""]"
tt0514084,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514084,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514084,5,nm0537410,director,,
tt0514084,6,nm0250080,producer,producer,
tt0514084,7,nm0368579,producer,producer,
tt0514084,8,nm0195997,composer,,
tt0514084,9,nm0910602,editor,,
tt0514085,1,nm1075468,actor,,"[""Master Shake""]"
tt0514085,2,nm1052894,actor,,"[""Frylock""]"
tt0514085,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514085,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514085,5,nm0537410,director,,
tt0514085,6,nm0250080,producer,producer,
tt0514085,7,nm0195997,composer,,
tt0514086,10,nm1743855,editor,,
tt0514086,1,nm1075468,actor,,"[""Master Shake""]"
tt0514086,2,nm1052894,actor,,"[""Frylock""]"
tt0514086,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514086,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514086,5,nm0537410,director,,
tt0514086,6,nm0250080,producer,producer,
tt0514086,7,nm0368579,producer,producer,
tt0514086,8,nm0195997,composer,,
tt0514086,9,nm1557497,editor,,
tt0514087,1,nm1075468,actor,,"[""Master Shake""]"
tt0514087,2,nm1052894,actor,,"[""Frylock""]"
tt0514087,3,nm0932302,actor,,"[""Meatwad"",""Boxy Brown""]"
tt0514087,4,nm0537410,actor,,"[""Deranged Homeless Man"",""Geddy Lee""]"
tt0514087,5,nm0250080,producer,producer,
tt0514087,6,nm0195997,composer,,
tt0514087,7,nm1557497,editor,,
tt0514087,8,nm0368579,editor,,
tt0514087,9,nm1743855,editor,,
tt0514088,1,nm1075468,actor,,"[""Master Shake""]"
tt0514088,2,nm1052894,actor,,"[""Frylock""]"
tt0514088,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
